PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,15:00,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+\-
Tony Snell,NOP,30,53,19,34,822,187,69,171,40.4,45,128,35.2,4,4,100,16,87,103,28,19,16,9,70,0,0,-117
Lance Stephenson,IND,31,46,11,35,814,384,147,323,45.5,27,90,30,63,80,78.8,12,115,127,165,72,24,4,96,3,0,-113
Wayne Ellington,LAL,34,43,15,28,810,287,98,237,41.4,82,211,38.9,9,11,81.8,10,67,77,30,19,23,5,42,0,0,-59
Davis Bertans,DAL,29,56,32,24,806,311,99,275,36,77,230,33.5,36,40,90,12,105,117,31,19,17,12,85,0,0,30
Ty Jerome,OKC,24,48,15,33,801,340,124,328,37.8,54,186,29,38,47,80.9,19,59,78,109,37,30,5,73,0,0,-7
Lou Williams,ATL,35,56,33,23,799,354,125,320,39.1,37,102,36.3,67,78,85.9,16,71,87,105,43,28,3,48,0,0,15
Quentin Grimes,NYK,21,46,21,25,786,275,95,235,40.4,72,189,38.1,13,19,68.4,24,70,94,44,28,31,11,72,0,0,-54
Justise Winslow,POR,26,48,24,24,775,274,110,257,42.8,15,66,22.7,39,66,59.1,50,152,202,84,49,35,25,67,2,0,28
Romeo Langford,SAS,22,48,24,24,771,218,83,191,43.5,29,85,34.1,23,42,54.8,30,78,108,21,16,22,16,47,0,0,5
Trent Forrest,UTA,23,60,36,24,766,195,76,155,49,5,27,18.5,38,48,79.2,23,76,99,106,48,30,6,43,0,0,78
Kelly Olynyk,DET,30,40,13,27,764,365,128,286,44.8,40,119,33.6,69,89,77.5,54,123,177,111,58,31,19,100,1,0,-70
Brandon Boston Jr.,LAC,20,51,26,25,760,343,125,325,38.5,34,111,30.6,59,72,81.9,17,94,111,51,31,26,13,43,0,0,-37
Rodney McGruder,DET,30,51,13,38,754,273,98,225,43.6,58,146,39.7,19,26,73.1,31,80,111,48,24,21,7,58,0,0,-56
Eric Paschall,UTA,25,58,36,22,737,334,114,235,48.5,40,108,37,66,86,76.7,30,76,106,36,27,9,5,51,0,0,-29
Naji Marshall,NOP,24,55,23,32,736,313,109,269,40.5,21,105,20,74,93,79.6,38,104,142,62,46,33,8,69,1,0,-49
Goga Bitadze,IND,22,50,17,33,729,349,131,252,52,23,80,28.8,64,94,68.1,79,98,177,55,46,21,42,107,2,0,-32
Danuel House Jr.,UTA,28,42,18,24,727,248,80,198,40.4,44,117,37.6,44,58,75.9,18,93,111,44,33,21,17,51,0,0,62
DeMarcus Cousins,DEN,31,48,33,15,717,430,149,324,46,37,122,30.3,95,125,76,74,196,270,71,85,35,21,139,2,0,38
Svi Mykhailiuk,TOR,24,56,29,27,716,255,91,234,38.9,41,134,30.6,32,37,86.5,20,72,92,45,32,26,4,54,0,0,-78
Terry Taylor,IND,22,33,7,26,714,318,135,220,61.4,12,38,31.6,36,51,70.6,95,77,172,41,23,14,8,61,2,0,-114
Rodney Hood,LAC,29,52,30,22,709,163,58,157,36.9,30,91,33,17,19,89.5,15,62,77,38,11,15,6,31,0,0,9
Omer Yurtseven,MIA,23,56,39,17,706,299,130,247,52.6,1,11,9.1,38,61,62.3,85,209,294,49,41,17,20,84,8,0,63
Xavier Tillman,MEM,23,53,35,18,701,252,98,216,45.4,10,49,20.4,46,71,64.8,66,95,161,62,34,49,15,63,0,0,-26
Rajon Rondo,CLE,36,39,16,23,698,186,68,176,38.6,31,88,35.2,19,26,73.1,15,93,108,170,68,30,6,56,1,0,-110
Zeke Nnaji,DEN,21,41,24,17,698,270,96,186,51.6,37,80,46.3,41,65,63.1,56,91,147,17,23,16,13,79,0,0,-45
Keon Johnson,POR,20,37,8,29,696,267,96,272,35.3,34,100,34,41,51,80.4,24,57,81,76,46,28,12,69,0,0,-287
Dalano Banton,TOR,22,64,37,27,696,205,83,202,41.1,13,51,25.5,26,44,59.1,38,86,124,99,53,28,10,68,0,0,34
Vit Krejci,OKC,21,30,8,22,690,187,68,167,40.7,32,98,32.7,19,22,86.4,18,83,101,57,29,19,8,65,1,0,-179
Timothe Luwawu-Cabarrot,ATL,26,52,30,22,685,227,74,186,39.8,44,122,36.1,35,41,85.4,17,65,82,40,20,18,6,76,0,0,-51
Frank Ntilikina,DAL,23,58,34,24,685,240,89,223,39.9,38,111,34.2,24,25,96,12,67,79,69,31,27,7,61,0,0,63
Davon Reed,DEN,26,48,29,19,668,209,81,161,50.3,37,86,43,10,15,66.7,14,94,108,53,16,24,9,63,0,0,-26
Derrick Favors,OKC,30,39,15,24,652,206,94,182,51.6,2,16,12.5,16,25,64,58,126,184,25,9,17,12,62,1,0,-143
T.J. McConnell,IND,30,27,9,18,652,229,100,208,48.1,10,33,30.3,19,23,82.6,20,70,90,131,29,29,10,53,1,0,-74
Greg Brown III,POR,20,48,14,34,640,225,81,190,42.6,19,61,31.1,44,65,67.7,38,97,135,35,36,26,24,90,0,0,-241
Brandon Williams,POR,22,24,2,22,640,309,105,282,37.2,31,106,29.2,68,97,70.1,19,55,74,94,58,24,10,52,2,0,-272
Dennis Smith Jr.,POR,24,37,15,22,639,206,79,189,41.8,6,27,22.2,42,64,65.6,20,68,88,132,51,45,12,52,0,0,-138
Derrick Rose,NYK,33,26,11,15,636,311,122,274,44.5,37,92,40.2,30,31,96.8,21,57,78,103,39,22,12,15,0,0,92
Sterling Brown,DAL,27,49,31,18,628,160,59,155,38.1,28,92,30.4,14,15,93.3,26,123,149,34,23,14,7,56,2,0,32
DeAndre Jordan,PHI,33,48,26,22,622,206,92,143,64.3,0,0,0,22,40,55,83,181,264,21,37,12,35,71,0,0,-147
