PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,15:00,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+\-
Alex Len,SAC,28,39,17,22,620,235,94,176,53.4,6,21,28.6,41,63,65.1,52,109,161,45,43,13,25,100,2,0,-76
Robin Lopez,ORL,34,36,9,27,612,254,110,199,55.3,2,6,33.3,32,54,59.3,68,58,126,54,44,2,18,67,3,0,-65
Isaiah Joe,PHI,22,55,35,20,609,198,62,177,35,45,135,33.3,29,31,93.5,6,50,56,35,19,14,3,47,0,0,23
David Nwaba,HOU,29,46,6,40,609,233,85,176,48.3,15,49,30.6,48,67,71.6,41,110,151,35,21,28,20,55,0,0,-117
Moses Moody,GSW,19,52,35,17,607,228,80,183,43.7,40,110,36.4,28,36,77.8,17,63,80,23,13,7,10,43,0,0,-42
Saben Lee,DET,22,37,8,29,604,208,69,177,39,14,60,23.3,56,71,78.9,18,69,87,107,36,36,12,44,1,0,-80
Andre Iguodala,GSW,38,31,20,11,603,124,46,121,38,17,74,23,15,20,75,21,79,100,114,28,27,22,34,0,0,114
Mike Muscala,OKC,30,43,15,28,593,344,113,248,45.6,70,163,42.9,48,57,84.2,21,108,129,22,14,18,26,58,0,0,23
Jock Landale,SAS,26,54,24,30,589,265,101,204,49.5,29,89,32.6,34,41,82.9,63,75,138,45,31,10,14,53,1,0,-17
Aaron Nesmith,BOS,22,52,32,20,574,196,72,182,39.6,31,115,27,21,26,80.8,15,74,89,22,31,20,5,70,0,0,22
Keifer Sykes,IND,28,32,6,26,566,180,69,190,36.3,27,90,30,15,17,88.2,8,37,45,62,33,12,4,51,0,0,-69
Nerlens Noel,NYK,28,25,10,15,562,85,32,60,53.3,0,3,0,21,30,70,48,93,141,23,20,30,31,67,0,0,-68
Jericho Sims,NYK,23,41,19,22,555,90,39,54,72.2,0,0,0,12,29,41.4,61,108,169,21,20,11,22,66,1,0,76
Elfrid Payton,PHX,28,50,39,11,549,150,67,175,38.3,4,18,22.2,12,32,37.5,21,67,88,99,47,25,6,38,0,0,-43
Tony Bradley,CHI,24,55,28,27,549,163,72,123,58.5,0,0,0,19,29,65.5,67,119,186,27,34,10,33,62,0,0,70
Kent Bazemore,LAL,32,39,16,23,545,132,45,139,32.4,29,80,36.3,13,17,76.5,13,56,69,34,21,25,9,70,0,0,-118
Isaiah Jackson,IND,20,36,9,27,541,297,116,206,56.3,5,16,31.3,60,88,68.2,60,89,149,10,40,25,52,92,3,0,-39
Malachi Flynn,TOR,23,44,25,19,537,189,72,183,39.3,30,90,33.3,15,24,62.5,10,53,63,70,13,20,4,45,0,0,-26
Terence Davis,SAC,24,30,11,19,536,311,113,267,42.3,49,149,32.9,36,44,81.8,11,83,94,40,33,25,11,70,0,0,60
Ignas Brazdeikis,ORL,23,42,9,33,536,210,81,188,43.1,27,87,31,21,32,65.6,23,49,72,37,17,10,3,48,0,0,-173
Josh Okogie,MIN,23,49,23,26,516,133,42,104,40.4,14,47,29.8,35,51,68.6,29,41,70,25,23,26,12,53,0,0,39
Bismack Biyombo,PHX,29,36,30,6,506,210,86,145,59.3,0,0,0,38,71,53.5,63,104,167,23,25,12,26,70,6,0,52
Zach Collins,SAS,24,28,14,14,502,218,76,155,49,14,41,34.1,52,65,80,46,107,153,61,45,13,23,67,1,0,38
Brandon Goodwin,CLE,26,36,19,17,502,171,64,154,41.6,19,55,34.5,24,38,63.2,14,53,67,91,36,25,1,39,1,0,-53
Goran Dragic,BKN,35,21,10,11,497,157,57,151,37.7,16,63,25.4,27,33,81.8,13,52,65,86,34,19,4,45,0,0,6
Thanasis Antetokounmpo,MIL,29,48,26,22,473,171,70,128,54.7,2,14,14.3,29,46,63,40,61,101,22,26,16,12,68,0,0,-115
Admiral Schofield,ORL,25,38,10,28,469,146,54,129,41.9,26,79,32.9,12,15,80,17,72,89,25,21,4,5,58,0,0,-128
Lindy Waters III,OKC,24,25,6,19,465,199,71,175,40.6,53,146,36.3,4,5,80,6,67,73,24,11,19,8,31,0,0,-39
Anthony Gill,WAS,29,44,15,29,463,180,62,109,56.9,14,26,53.8,42,52,80.8,33,52,85,27,18,5,11,58,0,0,60
Trevor Ariza,LAL,36,24,8,16,462,96,33,99,33.3,20,74,27,10,18,55.6,10,72,82,27,11,13,6,20,0,0,-56
Killian Tillie,MEM,24,36,27,9,461,118,43,127,33.9,27,86,31.4,5,8,62.5,21,39,60,22,13,23,15,58,0,0,29
Matt Thomas,CHI,27,40,23,17,460,161,55,134,41,35,91,38.5,16,20,80,3,47,50,20,8,8,3,18,0,0,32
Dylan Windler,CLE,25,50,28,22,459,110,37,98,37.8,21,70,30,15,18,83.3,21,68,89,34,16,14,3,47,0,0,-9
Kelan Martin,BOS,26,30,14,16,450,171,70,171,40.9,22,75,29.3,9,13,69.2,17,38,55,21,14,13,9,36,0,0,-53
Yuta Watanabe,TOR,27,38,21,17,445,163,56,138,40.6,27,79,34.2,24,40,60,18,74,92,21,19,11,16,38,2,0,-54
Juancho Hernangomez,UTA,26,40,20,20,445,131,44,106,41.5,24,69,34.8,19,34,55.9,28,72,100,20,16,14,10,25,0,0,-5
Trey Burke,DAL,29,42,24,18,441,214,84,215,39.1,26,82,31.7,20,23,87,4,29,33,57,26,12,0,39,0,0,-10
Thomas Bryant,WAS,24,27,8,19,439,201,77,148,52,12,42,28.6,35,40,87.5,26,82,108,23,19,6,21,43,0,0,-75
Elijah Hughes,POR,24,36,15,21,434,126,47,144,32.6,25,95,26.3,7,9,77.8,6,52,58,22,17,14,8,39,0,0,-230
Joe Harris,BKN,30,14,10,4,423,158,56,124,45.2,41,88,46.6,5,6,83.3,5,51,56,14,16,7,2,31,0,0,16
Patrick Williams,CHI,20,17,9,8,422,153,54,102,52.9,15,29,51.7,30,41,73.2,17,52,69,15,16,9,9,28,1,0,-56
Olivier Sarr,OKC,23,22,6,16,421,153,58,101,57.4,13,29,44.8,24,29,82.8,34,59,93,19,22,6,15,52,1,0,-28
Enes Freedom,BOS,29,35,20,15,411,128,51,97,52.6,2,5,40,24,28,85.7,61,99,160,8,20,5,14,42,2,0,70
Sandro Mamukelashvili,MIL,22,41,22,19,407,154,57,115,49.6,22,52,42.3,18,22,81.8,35,47,82,22,15,9,9,28,1,0,-145
Semi Ojeleye,LAC,27,30,14,16,406,98,30,99,30.3,15,50,30,23,29,79.3,27,47,74,9,9,7,6,30,0,0,-144
Day'Ron Sharpe,BKN,20,32,12,20,391,198,86,149,57.7,2,7,28.6,24,41,58.5,81,79,160,17,30,10,15,60,2,0,57
Luka Garza,DET,23,32,3,29,389,186,66,147,44.9,16,49,32.7,38,61,62.3,58,42,100,20,18,9,6,55,2,0,-63
Isaiah Livers,DET,23,19,8,11,383,121,41,90,45.6,27,64,42.2,12,14,85.7,15,42,57,21,15,13,7,37,1,0,-10
Gary Clark,NOP,27,38,20,18,378,101,33,88,37.5,28,70,40,7,10,70,23,67,90,18,10,13,7,20,0,0,-18
Paul Millsap,PHI,37,33,22,11,376,115,45,115,39.1,8,35,22.9,17,24,70.8,41,73,114,29,19,10,13,67,0,0,-23
Miles McBride,NYK,21,40,19,21,372,89,32,108,29.6,17,68,25,8,12,66.7,4,38,42,41,5,14,1,45,0,0,101
Chris Chiozza,GSW,26,34,21,13,372,67,24,81,29.6,17,53,32.1,2,3,66.7,9,27,36,65,32,13,0,32,0,0,-49
Gorgui Dieng,ATL,32,44,23,21,371,154,53,112,47.3,29,68,42.6,19,26,73.1,32,89,121,34,20,11,13,52,0,0,-63
Nick Richards,CHA,24,50,25,25,367,150,60,90,66.7,0,0,0,30,43,69.8,34,52,86,13,24,9,21,51,0,0,-109
Jared Butler,UTA,21,42,31,11,360,161,61,151,40.4,28,88,31.8,11,16,68.8,5,40,45,63,33,17,8,47,0,0,-11
Santi Aldama,MEM,21,32,20,12,360,132,53,132,40.2,6,48,12.5,20,32,62.5,33,54,87,21,16,6,10,36,2,0,16
Markelle Fultz,ORL,23,18,6,12,360,195,83,175,47.4,4,17,23.5,25,31,80.6,4,45,49,99,40,20,5,22,1,0,-37
Wenyen Gabriel,LAL,25,26,8,18,359,141,54,110,49.1,8,28,28.6,25,42,59.5,39,58,97,14,16,5,11,68,1,0,44
Ish Wainright,PHX,27,45,36,9,359,108,41,104,39.4,19,59,32.2,7,12,58.3,27,27,54,15,13,20,6,49,0,0,39
Cody Zeller,POR,29,27,13,14,355,140,51,90,56.7,0,4,0,38,49,77.6,50,75,125,22,19,8,6,56,0,0,-28
Keljin Blevins,POR,26,31,4,27,349,95,34,111,30.6,21,72,29.2,6,11,54.5,16,29,45,19,17,13,1,29,0,0,-208
Marquese Chriss,DAL,24,34,24,10,346,154,62,134,46.3,8,25,32,22,33,66.7,33,70,103,17,17,13,12,64,0,0,-10
Moses Brown,CLE,22,40,19,21,344,171,64,108,59.3,0,0,0,43,72,59.7,39,96,135,1,20,7,16,53,3,0,-49
Kira Lewis Jr.,NOP,21,24,6,18,341,141,59,146,40.4,13,58,22.4,10,12,83.3,9,30,39,49,26,11,1,17,0,0,-107
David Duke Jr.,BKN,22,22,10,12,341,104,39,108,36.1,9,37,24.3,17,21,81,30,37,67,17,9,14,7,36,2,0,-10
P.J. Dozier,DEN,25,18,9,9,340,97,36,99,36.4,15,48,31.3,10,13,76.9,14,49,63,29,13,11,6,33,0,0,-90
Jarrett Culver,MEM,23,37,28,9,338,130,51,135,37.8,12,47,25.5,16,34,47.1,13,35,48,33,20,20,5,42,0,0,-18
Kris Dunn,POR,28,14,1,13,336,106,44,102,43.1,1,11,9.1,17,18,94.4,9,40,49,79,32,23,3,38,0,0,-92
Isaiah Thomas,CHA,33,22,12,10,333,184,67,167,40.1,28,83,33.7,22,26,84.6,4,25,29,34,15,7,5,34,0,0,-10
Brad Wanamaker,WAS,32,23,10,13,320,83,28,77,36.4,4,17,23.5,23,25,92,6,33,39,55,23,7,6,45,0,0,-44
Collin Sexton,CLE,23,11,7,4,316,176,68,151,45,11,45,24.4,29,39,74.4,13,23,36,23,31,10,0,25,0,0,-30
Justin Anderson,IND,28,16,3,13,316,102,36,95,37.9,15,59,25.4,15,19,78.9,4,42,46,33,8,8,6,22,0,0,-15
James Bouknight,CHA,21,31,15,16,304,142,49,141,34.8,17,49,34.7,27,31,87.1,22,30,52,26,15,7,1,29,0,0,-50
Justin Robinson,DET,24,25,13,12,304,78,28,93,30.1,18,61,29.5,4,8,50,4,17,21,32,17,9,1,27,0,0,-123
Paul Reed,PHI,22,38,21,17,303,116,54,96,56.3,2,8,25,6,14,42.9,44,48,92,16,10,33,14,57,0,0,-40
Brook Lopez,MIL,34,13,10,3,298,161,61,131,46.6,19,53,35.8,20,23,87,19,34,53,6,12,8,15,34,0,0,-7
Markieff Morris,MIA,32,17,10,7,298,129,54,114,47.4,13,39,33.3,8,9,88.9,17,28,45,23,20,6,1,33,0,0,19
Justin Champagnie,TOR,20,36,21,15,281,81,31,67,46.3,10,28,35.7,9,9,100,37,35,72,11,8,8,4,32,0,0,52
Nathan Knight,MIN,24,37,22,15,267,138,45,88,51.1,4,13,30.8,44,60,73.3,32,53,85,22,18,7,8,42,1,0,22
Michael Porter Jr.,DEN,23,9,5,4,265,89,37,103,35.9,10,48,20.8,5,9,55.6,9,50,59,17,12,10,2,16,1,0,58
JT Thor,CHA,19,33,18,15,262,67,24,55,43.6,7,27,25.9,12,20,60,11,32,43,19,10,8,11,26,0,0,-7
Daishen Nix,HOU,20,24,3,21,261,77,27,67,40.3,7,26,26.9,16,30,53.3,7,26,33,40,26,15,0,21,0,0,-46
KZ Okpala,MIA,22,21,14,7,244,77,30,69,43.5,9,26,34.6,8,11,72.7,11,30,41,14,5,4,7,25,0,0,6
Leandro Bolmaro,MIN,21,35,19,16,241,50,17,54,31.5,5,18,27.8,11,13,84.6,16,27,43,21,13,6,0,26,0,0,3
Jaylen Hoard,OKC,23,7,2,5,240,103,44,90,48.9,9,25,36,6,14,42.9,30,54,84,17,8,6,5,14,4,0,-87
Mychal Mulder,MIA,27,17,3,14,240,69,24,77,31.2,17,54,31.5,4,4,100,2,22,24,5,8,4,2,13,0,0,-55
Usman Garuba,HOU,20,24,2,22,239,48,19,44,43.2,5,20,25,5,7,71.4,21,62,83,17,6,10,11,28,0,0,33
Jake Layman,MIN,28,34,20,14,231,81,30,73,41.1,8,35,22.9,13,18,72.2,6,30,36,9,10,7,5,12,0,0,-11
Kevin Knox II,ATL,22,30,18,12,222,93,31,85,36.5,15,54,27.8,16,22,72.7,14,30,44,10,7,4,2,19,0,0,-70
Denzel Valentine,UTA,28,24,14,10,222,69,25,66,37.9,19,47,40.4,0,0,0,9,33,42,11,12,8,0,20,0,0,-27
Skylar Mays,ATL,24,28,17,11,220,80,32,64,50,8,25,32,8,9,88.9,5,20,25,17,10,7,0,9,1,0,-53
Georgios Kalaitzakis,OKC,23,13,8,5,213,86,31,67,46.3,10,26,38.5,14,30,46.7,6,15,21,12,20,11,2,19,0,0,-134
Malcolm Hill,CHI,26,19,8,11,212,72,24,52,46.2,13,36,36.1,11,14,78.6,11,24,35,8,3,7,3,24,0,0,-31
Tim Frazier,CLE,31,12,1,11,208,39,14,45,31.1,6,17,35.3,5,9,55.6,5,14,19,34,15,3,1,27,0,0,-80
Alfonzo McKinnie,CHI,29,17,8,9,206,59,24,61,39.3,9,27,33.3,2,8,25,13,20,33,5,7,2,3,26,0,0,-55
Joe Wieskamp,SAS,22,29,11,18,205,61,20,56,35.7,14,43,32.6,7,13,53.8,4,10,14,9,2,4,3,14,0,0,0
Ed Davis,CLE,32,31,15,16,201,28,11,16,68.8,0,0,0,6,14,42.9,14,50,64,7,5,3,9,33,0,0,16
Javonte Smart,MIA,22,17,11,6,200,51,19,60,31.7,8,27,29.6,5,6,83.3,5,19,24,16,11,6,3,12,0,0,-42
Tyler Cook,CHI,24,20,13,7,200,67,23,38,60.5,0,0,0,21,32,65.6,16,37,53,3,7,4,4,28,0,0,-27
Lindell Wigginton,MIL,24,19,11,8,199,80,26,61,42.6,9,26,34.6,19,35,54.3,3,22,25,23,12,5,1,17,0,0,-47
Braxton Key,DET,25,11,5,6,197,79,33,72,45.8,6,21,28.6,7,13,53.8,13,37,50,11,11,10,11,26,0,0,27
Udoka Azubuike,UTA,22,17,11,6,195,80,37,49,75.5,0,0,0,6,11,54.5,18,53,71,0,12,1,11,25,1,0,4
Greg Monroe,MIN,31,14,7,7,195,76,32,57,56.1,0,0,0,12,23,52.2,30,34,64,22,12,8,10,24,0,0,5
Mamadi Diakite,OKC,25,13,4,9,188,56,25,47,53.2,0,5,0,6,11,54.5,17,42,59,2,7,5,9,33,0,0,-14
Reggie Perry,POR,22,10,0,10,187,92,40,79,50.6,3,16,18.8,9,15,60,15,32,47,12,11,9,6,33,1,0,-78
Kyle Guy,MIA,24,19,15,4,186,74,26,65,40,14,40,35,8,12,66.7,4,13,17,17,13,7,1,12,0,0,-48
Willie Cauley-Stein,PHI,28,20,12,8,183,34,16,35,45.7,1,2,50,1,2,50,13,27,40,10,7,6,3,19,0,0,24
Frank Kaminsky,PHX,29,9,8,1,181,95,36,66,54.5,5,15,33.3,18,20,90,11,30,41,13,5,8,7,14,0,0,39
Charlie Brown Jr.,PHI,25,22,16,6,178,30,10,39,25.6,1,12,8.3,9,10,90,14,18,32,6,5,10,4,18,0,0,-21
Markus Howard,DEN,23,31,17,14,176,126,39,101,38.6,28,70,40,20,23,87,2,10,12,7,7,9,0,17,0,0,-12
Jamorko Pickett,DET,24,13,4,9,176,50,18,50,36,13,39,33.3,1,2,50,6,26,32,7,5,0,7,12,0,0,0
Vlatko Cancar,DEN,25,15,7,8,176,62,23,41,56.1,7,12,58.3,9,14,64.3,8,23,31,17,9,2,3,18,0,0,4
Zavier Simpson,OKC,25,4,1,3,174,44,19,52,36.5,1,8,12.5,5,5,100,2,19,21,30,10,5,4,15,0,0,-95
Victor Oladipo,MIA,29,8,4,4,173,99,35,73,47.9,15,36,41.7,14,19,73.7,3,20,23,28,16,5,1,13,1,0,-5
Hassani Gravett,ORL,25,8,2,6,171,50,18,38,47.4,11,26,42.3,3,4,75,1,20,21,20,9,5,1,13,0,0,-2
Charles Bassey,PHI,21,23,11,12,168,69,30,47,63.8,0,4,0,9,12,75,22,40,62,7,8,5,17,32,1,0,-34
Alize Johnson,NOP,25,23,14,9,167,41,17,39,43.6,0,4,0,7,12,58.3,28,33,61,9,12,5,0,18,0,0,-45
Kevin Pangos,CLE,29,24,16,8,166,39,15,46,32.6,6,26,23.1,3,4,75,2,9,11,30,7,3,0,11,0,0,-35
Haywood Highsmith,MIA,25,19,13,6,163,43,16,46,34.8,9,28,32.1,2,5,40,10,16,26,6,3,2,3,13,0,0,-37
Sam Hauser,BOS,24,26,20,6,158,65,23,50,46,19,44,43.2,0,0,0,5,24,29,10,2,1,2,7,0,0,1
Paul Watson,OKC,27,9,2,7,156,31,12,35,34.3,6,26,23.1,1,2,50,3,24,27,8,4,3,3,10,0,0,-56
Cassius Stanley,DET,22,9,3,6,155,52,19,46,41.3,4,17,23.5,10,10,100,5,14,19,4,6,5,2,17,0,0,-15
Bruno Fernando,HOU,23,30,15,15,153,88,36,55,65.5,1,2,50,15,24,62.5,18,37,55,7,14,1,11,24,2,0,-33
Theo Pinson,DAL,26,19,14,5,148,48,14,39,35.9,10,30,33.3,10,10,100,2,19,21,17,5,5,2,12,0,0,-41
Abdel Nader,PHX,28,14,11,3,145,34,12,35,34.3,4,14,28.6,6,10,60,4,23,27,7,11,8,4,20,0,0,-2
Devin Cannady,ORL,25,5,2,3,145,50,15,44,34.1,15,37,40.5,5,7,71.4,1,5,6,10,5,5,3,9,0,0,-11
Solomon Hill,ATL,31,13,7,6,139,8,3,20,15,2,13,15.4,0,0,0,6,17,23,12,1,4,2,16,0,0,41
Xavier Moon,LAC,27,10,7,3,137,58,25,51,49,5,14,35.7,3,5,60,2,12,14,24,6,7,3,9,0,0,2
Jahmi'us Ramsey,SAC,20,19,2,17,134,60,24,58,41.4,5,18,27.8,7,14,50,4,9,13,7,5,1,1,10,0,0,-21
Didi Louzada,POR,22,9,0,9,129,35,12,33,36.4,9,23,39.1,2,2,100,5,12,17,5,5,2,2,13,0,0,-81
Marcus Garrett,MIA,23,12,11,1,128,13,5,21,23.8,1,4,25,2,5,40,9,14,23,7,2,5,3,16,0,0,17
Boban Marjanovic,DAL,33,23,15,8,128,98,42,70,60,1,4,25,13,22,59.1,8,31,39,3,15,0,3,24,0,0,35
Jay Scrubb,LAC,21,18,8,10,121,49,18,46,39.1,6,21,28.6,7,10,70,2,14,16,8,7,4,3,9,0,0,16
Devontae Cacok,SAS,25,15,5,10,121,46,21,31,67.7,0,0,0,4,7,57.1,8,34,42,6,3,8,7,16,0,0,-1
Jalen Johnson,ATL,20,22,14,8,120,52,22,41,53.7,3,13,23.1,5,7,71.4,2,24,26,3,9,3,2,9,0,0,-19
Neemias Queta,SAC,22,15,4,11,120,45,17,38,44.7,0,0,0,11,17,64.7,14,17,31,6,6,1,8,18,0,0,-7
Melvin Frazier Jr.,OKC,25,3,0,3,120,32,13,48,27.1,1,21,4.8,5,7,71.4,5,8,13,1,3,1,0,8,0,0,-92
Freddie Gillespie,ORL,24,9,1,8,119,21,9,22,40.9,0,1,0,3,7,42.9,13,23,36,5,5,3,9,18,0,0,-29
Jabari Parker,BOS,27,12,4,8,112,53,18,38,47.4,8,16,50,9,9,100,5,23,28,6,8,4,1,13,0,0,-7
Derrick Walton Jr.,DET,27,3,1,2,108,19,6,26,23.1,3,13,23.1,4,4,100,2,8,10,21,11,7,4,8,0,0,-3
Jeff Dowtin,ORL,24,9,4,5,108,19,8,26,30.8,1,9,11.1,2,2,100,8,10,18,10,5,5,1,5,0,0,-26
Langston Galloway,MIL,30,7,4,3,107,14,6,26,23.1,2,16,12.5,0,0,0,3,15,18,12,6,1,0,7,0,0,-12
Chaundee Brown Jr.,ATL,23,5,1,4,104,31,10,32,31.3,6,18,33.3,5,6,83.3,1,15,16,4,1,2,0,7,0,0,-20
Louis King,SAC,23,10,2,8,104,45,15,47,31.9,8,27,29.6,7,10,70,0,12,12,9,0,2,1,14,0,0,-29
Luke Kornet,BOS,26,15,11,4,103,30,13,27,48.1,0,5,0,4,6,66.7,13,16,29,9,0,3,3,9,0,0,22
Tyler Johnson,SAS,29,6,2,4,91,17,6,20,30,5,13,38.5,0,0,0,3,9,12,7,2,3,3,7,0,0,-6
Chris Silva,MIA,25,10,7,3,91,26,8,15,53.3,0,0,0,10,12,83.3,13,23,36,7,8,0,1,20,0,0,-29
Devon Dotson,CHI,22,11,5,6,85,29,11,23,47.8,2,9,22.2,5,9,55.6,1,8,9,15,5,1,0,11,0,0,-2
Udonis Haslem,MIA,41,13,10,3,83,32,14,31,45.2,1,4,25,3,3,100,4,21,25,4,5,1,1,15,0,0,-15
Wes Iwundu,ATL,27,3,2,1,82,22,8,18,44.4,3,5,60,3,4,75,3,10,13,0,1,1,0,8,0,0,0
Bol Bol,ORL,22,14,5,9,81,33,15,27,55.6,1,4,25,2,5,40,4,16,20,5,4,1,2,4,0,0,5
Carsen Edwards,DET,24,4,1,3,79,23,9,30,30,4,16,25,1,1,100,2,4,6,14,5,2,0,4,0,0,-12
Ryan Arcidiacono,NYK,28,10,8,2,76,16,6,12,50,4,9,44.4,0,0,0,0,8,8,4,3,1,0,5,0,0,-12
Tyrone Wallace,NOP,27,6,4,2,75,17,7,20,35,2,8,25,1,5,20,0,8,8,1,2,3,1,7,0,0,-18
Trevelin Queen,HOU,25,10,1,9,74,43,15,33,45.5,9,24,37.5,4,4,100,7,9,16,4,7,5,1,6,0,0,8
Isaiah Todd,WAS,20,12,1,11,74,20,7,26,26.9,4,16,25,2,6,33.3,3,9,12,4,4,4,2,4,0,0,-24
Aleem Ford,ORL,24,5,2,3,74,14,6,20,30,2,15,13.3,0,0,0,2,13,15,2,4,1,0,7,0,0,-35
Quinndary Weatherspoon,GSW,25,11,8,3,73,30,12,21,57.1,1,5,20,5,5,100,2,12,14,5,3,1,1,15,0,0,-10
Yves Pons,MEM,22,12,9,3,71,13,5,16,31.3,3,9,33.3,0,2,0,5,7,12,1,1,1,4,6,0,0,-30
Rayjon Tucker,MIL,24,5,2,3,71,21,6,9,66.7,4,5,80,5,7,71.4,3,5,8,10,1,4,0,5,0,0,-2
Isaac Bonga,TOR,22,15,9,6,69,12,3,13,23.1,1,4,25,5,8,62.5,4,3,7,4,2,8,2,10,0,0,-32
BJ Johnson,ORL,26,4,2,2,65,26,11,25,44,4,10,40,0,0,0,6,9,15,0,0,0,1,4,0,0,-12
Brandon Knight,DAL,30,5,2,3,65,32,10,25,40,4,17,23.5,8,8,100,0,8,8,8,4,1,0,5,0,0,-6
Malik Fitts,BOS,24,15,13,2,63,21,8,19,42.1,5,10,50,0,0,0,2,15,17,5,2,0,0,4,0,0,-19
RJ Nembhard Jr.,CLE,23,14,6,8,63,15,6,18,33.3,0,2,0,3,4,75,3,4,7,12,3,1,0,2,0,0,-7
Kai Jones,CHA,21,21,14,7,63,22,9,14,64.3,1,2,50,3,8,37.5,3,8,11,4,6,1,2,8,0,0,-14
Brodric Thomas,BOS,25,12,8,4,60,21,8,18,44.4,2,9,22.2,3,5,60,2,8,10,11,6,1,1,7,0,0,3
Tacko Fall,CLE,26,11,4,7,59,12,5,12,41.7,0,0,0,2,7,28.6,7,16,23,2,3,0,6,3,0,0,5
Sam Merrill,MEM,25,6,2,4,58,25,8,24,33.3,7,23,30.4,2,4,50,1,6,7,4,2,0,0,3,0,0,-9
Gabriel Deck,OKC,27,7,2,5,56,18,8,14,57.1,2,4,50,0,0,0,1,5,6,5,2,1,0,2,0,0,-14
James Ennis III,DEN,31,7,3,4,56,29,11,24,45.8,3,8,37.5,4,5,80,5,7,12,3,2,2,2,5,0,0,0
D.J. Wilson,TOR,26,4,2,2,54,30,11,15,73.3,0,2,0,8,10,80,1,15,16,5,2,5,1,6,0,0,-16
Myles Powell,PHI,24,11,8,3,52,13,5,17,29.4,1,6,16.7,2,2,100,1,5,6,3,3,1,0,8,0,0,-18
Mason Jones,LAL,23,4,2,2,51,27,7,15,46.7,1,4,25,12,15,80,1,9,10,4,1,2,0,8,0,0,23
Tremont Waters,WAS,24,3,0,3,50,10,4,14,28.6,2,9,22.2,0,0,0,0,4,4,7,4,5,0,4,0,0,-19
Cameron McGriff,POR,24,3,0,3,46,14,5,14,35.7,2,6,33.3,2,2,100,6,9,15,3,0,0,1,7,0,0,8
Gabriel Lundberg,PHX,27,4,1,3,44,13,5,19,26.3,3,8,37.5,0,0,0,2,5,7,11,3,3,0,7,0,0,19
Miye Oni,UTA,24,16,15,1,44,5,2,9,22.2,1,8,12.5,0,1,0,1,6,7,5,1,0,0,7,0,0,-32
Vernon Carey Jr.,WAS,21,7,3,4,44,20,7,13,53.8,0,0,0,6,13,46.2,8,4,12,0,3,2,1,4,0,0,-44
Cameron Oliver,ATL,25,2,1,1,43,23,10,15,66.7,1,3,33.3,2,3,66.7,2,4,6,3,0,1,1,5,0,0,-2
Jared Harper,NOP,24,5,2,3,43,37,14,26,53.8,5,12,41.7,4,4,100,2,0,2,14,2,4,1,5,0,0,7
Robert Woodard II,SAS,22,12,0,12,42,7,2,16,12.5,1,4,25,2,2,100,5,6,11,3,1,1,1,3,0,0,15
Cassius Winston,WAS,24,7,1,6,39,14,4,11,36.4,2,6,33.3,4,4,100,0,1,1,7,3,0,0,9,0,0,-6
Nik Stauskas,BOS,28,8,7,1,39,18,5,14,35.7,4,10,40,4,6,66.7,1,2,3,2,1,0,0,1,0,0,18
Xavier Sneed,UTA,24,9,7,2,39,5,2,10,20,1,8,12.5,0,0,0,2,4,6,1,0,0,0,2,0,0,-6
Sharife Cooper,ATL,20,13,8,5,39,7,3,14,21.4,1,6,16.7,0,0,0,0,5,5,5,5,0,0,1,0,0,-35
Petr Cornelie,DEN,26,13,3,10,38,14,5,15,33.3,1,8,12.5,3,4,75,7,7,14,3,4,1,1,7,0,0,8
Darren Collison,LAL,34,3,1,2,37,4,2,7,28.6,0,3,0,0,0,0,0,4,4,2,1,1,0,5,0,0,-14
Justin Jackson,PHX,27,7,6,1,36,15,5,15,33.3,3,9,33.3,2,2,100,1,6,7,2,1,0,0,3,0,0,-13
Marko Simonovic,CHI,22,9,4,5,35,17,4,15,26.7,1,5,20,8,11,72.7,5,5,10,0,2,1,1,6,0,0,3
Juwan Morgan,BOS,24,2,1,1,31,5,2,3,66.7,1,2,50,0,0,0,2,2,4,1,0,0,0,3,0,0,-17
Micah Potter,DET,24,3,2,1,31,12,5,11,45.5,0,2,0,2,2,100,4,5,9,0,1,1,1,4,0,0,-40
Cheick Diallo,DET,25,3,0,3,31,11,3,8,37.5,0,0,0,5,6,83.3,4,8,12,0,1,1,0,6,0,0,-33
Jordan Schakel,WAS,23,4,1,3,30,5,1,11,9.1,1,6,16.7,2,2,100,2,6,8,0,1,1,0,0,0,0,2
Daniel Oturu,TOR,22,3,1,2,27,9,3,6,50,0,1,0,3,5,60,1,4,5,0,0,0,2,1,0,0,-24
Deividas Sirvydis,DET,21,3,1,2,27,3,1,10,10,1,7,14.3,0,0,0,0,6,6,1,0,3,1,4,0,0,-28
Mac McClung,LAL,23,2,2,0,24,8,3,6,50,1,3,33.3,1,1,100,0,3,3,1,3,1,1,5,0,0,7
Carlik Jones,DEN,24,5,3,2,23,4,1,9,11.1,0,1,0,2,2,100,1,2,3,5,3,1,0,0,0,0,-20
Shaquille Harrison,BKN,28,2,1,1,23,4,2,6,33.3,0,2,0,0,0,0,1,3,4,3,2,1,1,3,0,0,-4
